id,name,image,description,cook_time,pub_date,author_id
1,Паста с рыбой,recipes/паста_с_рыбой.jpeg,Просто и очень вкусно!,20,2023-06-19 11:43:00.487608,2
2,Уха по-фински,,"Лук нарезаем некрупно, рыбу - крупными кубиками, картофель - мелкими.
Выкладываем в кастрюлю слоями лук, рыбу, картофель.
Наливаем воду (на 2 см выше картошки), ставим кастрюлю на огонь.
Когда закипит, убавляем огонь, добавляем соль, пряности. Варим минут 15 до готовности картофеля, не перемешивая.
Вливаем сливки, доводим до кипения. Проверяем соль, варим 2-3 минуты.
Оставляем минут на 20-30. Подаем уху по-фински с зеленью.",80,2023-06-20 10:17:30.290804,2
3,Лазанья,recipes/лазанья.jpg,"В сотейник положить сливочное масло и 2 ложки растительного масла, растопить. Постепенно добавлять муку и размешивать так, чтобы не оставалось комочков.

Когда вся мука вмешана, влить все молоко. Убавить огонь и томить до нужной консистенции: не жидкой, но и не слишком густой. Консистенция нежирной сметаны.

На сковороде раскалить оливковое масло. Добавить мясной фарш (лучше свинина+телятина).

Фарш жарить до полуготовности. Влить в него соус болоньезе, посолить и поперчить по вкусу.

Духовку разогреть до 180 градусов. Форму смазать сливочным маслом. На дно вылить немного соуса бешамель, чуть-чуть, только чтобы покрыть дно.

Выложить пласты (не вареные). На пласты выложить получившийся фарш (не жалеем!), на фарш — натертый сыр. На сыр — соус бешамель.

Соуса нужно выкладывать столько, сколько необходимо, на ваш взгляд, чтобы лазанья получилась сочной. Поверх соуса выложить сухие листы лазаньи. Повторить процедуру.

Последний слой листов промазать соусом бешамель и сверху щедро засыпать сыром. Дать постоять минут 7

Поставить в духовку. Печь 30 минут.",80,2023-06-20 10:17:31.290804,2
4,Брускетта с помидорами,recipes/брускетта.jpeg,"Поджарить хлеб на сухой сковородке или в духовке до золотистой корочки. В духовке это займет три-пять минут (в зависимости от размера ломтя хлеба) при температуре 200 градусов.

Помидоры нарезать кубиками с ребром около полсантиметра. Мелко нарубить три зубчика чеснока.

Разогреть сковороду, плеснуть в нее немного оливкового масла и высыпать в него помидоры и чеснок. Готовить их минуту-другую, просто чтобы прогреть, не потеряв вкуса свежего помидора. Тогда капнуть в сковороду бальзамического крема, перемешать и снять с огня.

Поджаренный хлеб пропитать оставшимся оливковым маслом, разлив понемногу на каждый ломоть. Сверху выложить теплые помидоры, посолить по вкусу, посыпать свежемолотым черным перцем и мелко нарезанной зеленью — любой, какая окажется под рукой. И подавать как закуску — например, к вину.",15,2023-06-20 10:17:32.290804,2
5,Картофель «Айдахо»,recipes/айдахо.jpg,"Картофель хорошо промыть (очищать не надо), нарезать вдоль на восемь долек, положить в кастрюлю с холодной подсоленной водой.

Довести до кипения и варить 2–3 минуты. Слить воду и поставить картофель остывать.

Смешать оливковое масло с мелко порезанной зеленью, соусом и продавленным через чеснокодавилку чесноком. Выложить картофель на противень в один слой, предварительно обмакнув дольки в получившуюся смесь.

Запекать в духовке 15–20 минут при температуре 200 градусов.",60,2023-06-20 10:17:33.290804,2
6,Греческий салат,recipes/греческий_салат.jpg,"Огурцы тщательно очистить от кожи и нарезать крупными полукруглыми ломтиками. Сложить в глубокий салатник или широкую миску, в которой будет удобно смешивать.

Помидоры нарезать крупными дольками. Добавить в салатник к огурцам и перемешать. Мешать при этом греческий салат лучше всего руками, подливая на каждом этапе понемногу оливкового масла.

Сладкий зеленый перец очистить от семян и перепонок и нарезать крупными кубиками. Добавить в салатник. Перемешать с другими овощами.

Красный лук нарезать тонкими полукольцами, а затем руками разделить на тонкие лепестки. Переложить к остальным овощам, снова все перемешать.

Добавить в салатник маслины без косточек (можно купить уже избавленные от косточек маслины, а можно очистить их самостоятельно, раздавив плоской стороной ножа каждую маслину и вынув косточку).

Твердую фету нарезать острым ножом на прямоугольные ломтики толщиной в 1 см. Чтобы сыр не прилипал к лезвию, нож можно предварительно окунуть в теплую воду.

Еще раз перемешать овощи в салатнике и разложить по тарелкам. Сверху на каждую порцию выложить по 2 ломтика феты. Щедро полить оливковым маслом.

Слегка посолить салат и посыпать сушеным орегано. Сверху еще раз сбрызнуть оливковым маслом и подавать немедленно, пока овощи не пустили сок.",15,2023-06-20 10:17:34.290804,2
7,Имбирный лимонад,recipes/имбирный_лимонад.jpeg,"Натереть имбирь. На умеренном огне растворить в стакане воды сахар, смешать с тертым имбирем и довести смесь до кипения.

Снять сковородку с огня и дать ей десять минут отдыха, чтобы сироп как следует настоялся на имбире.

После чего добавить к сиропу сок четырех лимонов и оставшуюся воду, перемешать и подавать с большим количеством льда.",15,2023-06-20 10:17:35.290804,2
8,Лобио,,"Замачиваем фасоль. Чем дольше она пролежит в воде, тем нежнее будет лобио, поэтому лучше замочить фасоль с вечера.

Промываем фасоль, кладем ее в кастрюлю, заливаем водой и ставим на огонь. Через пятнадцать минут после того как она закипит, сливаем воду.

Снова заливаем фасоль водой и варим до готовности — минимум полтора-два часа. Хотя некоторые варят и по пять часов, периодически добавляя воду. Если фасолину можно растереть пальцами — она готова.

Пока варится фасоль, мелко режем лук и жарим его в растительном масле до золотистого цвета.

Толчем фасоль в кастрюле до тех пор, пока каждая вторая фасолина не будет размята. Считать, конечно, фасолины не надо — просто прикинуть на глаз. Смешиваем фасоль с луком, мелко нарезанной кинзой, толченым чесноком, кориандром и винным уксусом. Солим. Подаем горячим. Получается вкуснейшая фасолевая каша. И это не закуска, а вполне себе основное блюдо.",120,2023-06-20 10:17:36.290804,2
9,"Круассан с омлетом, лососем и голландским соусом",recipes/круассан.png,"Яйца разбейте в миску, добавьте молоко и хорошо перемешайте. Приправьте солью и перцем.
Нагрейте сковороду на среднем огне. Добавьте сливочное масло, влейте яичную массу. Переверните омлет, когда он с одной стороны подрумянится, готовьте до желаемой консистенции.
В полуразрезанные круассаны добавьте омлет, филе лосося и украсьте по желанию.",15,2023-06-21 05:34:21.700340,3
10,"Вафли с яйцом ""Бенедикт"" и лососем",recipes/вафли.png,"Приготовить яйца ""Бенедикт"", выложить на вафли вместе с лососем",35,2023-06-21 06:54:05.765446,6
11,Французский тост с сиропом агавы,recipes/французский_тост_с_сиропом_агавы.png,"Смешать молоко с сахаром, добавить яйца, тщательно все взбить. Обмакнуть тосты в смесь и жарить на сливочном масле до золотистой корочки. Полить сверху сиропом агавы и украсить ягодами.",15,2023-06-21 07:48:40.794934,6
12,Английский завтрак,recipes/английский_завтрак.png,"Поджарить яйца, обжарить колбаски.",35,2023-06-21 08:44:32.891417,5
13,Паста с беконом,recipes/паста_с_беконом.png,"Отварите пасту в подсоленной воде до состояния «аль денте». Откиньте на дуршлаг и выложите обратно в кастрюлю.
Разогрейте масло в сковороде на большом огне. Обжарьте бекон в течение 6 минут . Переложите на бумажное полотенце, чтобы впитался лишний жир.
Взбейте сливки и сыр. Добавьте в соус соль и перец по вкусу.
Перемешайте соус с макаронами. Добавьте бекон и поставьте кастрюлю на очень малый огонь на 30-60 секунд",30,2023-06-21 09:39:54.729674,4
14,Французские тосты,recipes/testCardImg.png,"Смешать молоко с сахаром, добавить яйца, тщательно все взбить. Обмакнуть тосты в смесь и жарить на сливочном масле до золотистой корочки.
Полить сверху сиропом топинамбура и украсить ягодами.",20,2023-06-21 09:42:50.840468,3